,inn__location_code,Акцизы__всего,Водный_налог,Единый_налог_на_вмененный_доход_для_отдельных_видов__деятельности,Единый_сельскохозяйственный_налог,Задолженность_и_перерасчеты_по_ОТМЕНЕННЫМ_НАЛОГАМ__и_сборам_и_иным_обязательным_платежам___кроме_ЕСН__страх__Взносов_,Земельный_налог,НЕНАЛОГОВЫЕ_ДОХОДЫ__администрируемые_налоговыми_органами,Налог__взимаемый_в_связи_с__применением_упрощенной__системы_налогообложения,Налог_на_добавленную_стоимость,Налог_на_добычу_полезных_ископаемых,Налог_на_доходы_физических_лиц,Налог_на_имущество_организаций,Налог_на_прибыль,Сборы_за_пользование_объектами_животного_мира__и_за_пользование_объектами_ВБР,Страховые_взносы_на_обязательное_медицинское_страхование_работающего_населения__зачисляемые_в_бюджет_Федерального_фонда_обязательного_медицинского_страхования,Страховые_взносы_на_обязательное_социальное_страхование_на_случай_временной_нетрудоспособности_и_в_связи_с_материнством,Страховые_и_другие_взносы_на_обязательное_пенсионное_страхование__зачисляемые_в_Пенсионный_фонд_Российской_Федерации,Торговый_сбор,Транспортный_налог
0,1.0,1050661746.46,1631667.12,36952175.24,13526720.930000002,22647.559999999998,61760735.33999997,302943.82,309413981.2199999,1832332972.0900009,31461891.150000002,11729.0,104857764.56,388732864.5900001,0.0,205019611.3399999,75357731.20000005,1005197859.97,255500.0,29051996.550000004
1,2.0,74271318.75,5476842.249999999,591373728.3900002,31585540.45,1614893.0100000005,228461419.70999995,1291933.9,2243863483.1499963,13492131006.160028,60526624.19,10061.0,870525695.9400003,4629983151.249999,1012652.66,2259435243.190015,595632180.339996,10549312713.529991,2615520.2199999997,269937134.61999977
2,3.0,44515368.6,2740820.55,141296198.33999997,3366728.72,4085.9,97372792.16000001,2536233.99,596940100.5999998,1637042142.9700007,240280889.38,16399.0,77936672.88,526697080.81,691703.95,330912560.7800004,130296627.0700001,1620350936.3200023,0.0,28372090.349999994
3,4.0,1184719.02,343170.91,21164232.009999994,5916848.76,549.99,38935609.64,201141.47,170804464.7,1095739621.2899997,51719621.190000005,0.0,47343200.8,389657833.0399999,328379.0,125100131.89999998,47640930.819999985,618013947.7400006,0.0,10018890.48
4,5.0,686744417.69,109882.39,63028113.12999997,4946593.180000001,20557.319999999996,151473864.3,178819.94,307120734.76,1604746083.570001,7417422.219999999,392313.0,75623810.88,566543066.64,179595.0,165883049.72999987,55596304.630000055,862619545.5700002,723108.0,24414064.8
5,6.0,0.0,11636.98,1710866.42,30270.0,3.32,8979652.66,38792.97,56574045.839999996,233617659.93999997,972128.47,20982.0,293106191.13000005,165395175.64999998,0.0,18842190.24,8310267.4399999995,83843706.03000002,0.0,1849387.0899999999
6,7.0,894184387.45,1785631.47,27329366.860000007,33122621.469999995,855.44,41583660.95999999,0.0,238040716.32999998,860226946.1200002,7898059.24,171463.0,184699110.60999998,368224374.15000004,6380.0,132149752.48999986,45893656.34999999,656333972.6299996,67045.33,18257235.459999993
7,8.0,521136622.62,233795.0,18624118.61,14534075.95,611.33,12348379.03,1271722.77,86834381.80000003,583620715.42,569729329.75,0.0,33004211.3,177707045.95000002,180632.9,49079776.80999998,16304420.479999999,196917471.04999995,0.0,6866286.870000001
8,9.0,39507120.0,462614.66000000003,15058509.24,1618011.6499999997,628.84,30720528.99999999,32803.25,123562293.64999999,513126703.7899998,3778971.9799999995,4344.0,50455699.089999996,354296963.64000016,0.0,81869585.35999997,44156059.98000004,395568138.04999995,0.0,19817704.450000003
9,10.0,100493087.37,635075.04,210592719.0899999,75642276.91999999,242507.80000000002,56594897.04999998,490946.02999999997,844104513.4799991,2630676571.1,64716489.70999999,0.0,195899347.48,622024345.6500001,15328641.37,535157339.53000045,154616657.02000007,2666324788.549993,0.0,53436916.65
